receiver done. index, start_t, end_t, start_t delta from rev, value
0, d640000, d660000, 0, 1
1, d680000, d690000, 40000, 0
2, d6c0000, d6f0000, 40000, 1
3, d700000, d720000, 40000, 1
4, d740000, d750000, 40000, 0
5, d780000, d7b0000, 40000, 0
6, d7c0000, d7e0000, 40000, 1
7, d800000, d810000, 40000, 1
8, d840000, d870000, 40000, 0
9, d880000, d8a0000, 40000, 0
10, d8c0000, d8d0000, 40000, 1
11, d900000, d930000, 40000, 0
12, d940000, d960000, 40000, 1
13, d980000, d990000, 40000, 0
14, d9c0000, d9f0000, 40000, 1
15, da00000, da20000, 40000, 1
16, da40000, da50000, 40000, 1
17, da80000, dab0000, 40000, 0
18, dac0000, dae0000, 40000, 0
19, db00000, db10000, 40000, 1
20, db40000, db70000, 40000, 0
21, db80000, dba0000, 40000, 0
22, dbc0000, dbd0000, 40000, 0
23, dc00000, dc30000, 40000, 1
24, dc40000, dc60000, 40000, 0
25, dc80000, dc90000, 40000, 0
26, dcc0000, dcf0000, 40000, 0
27, dd00000, dd20000, 40000, 0
28, dd40000, dd50000, 40000, 0
29, dd80000, ddb0000, 40000, 0
30, ddc0000, dde0000, 40000, 1
31, de00000, de10000, 40000, 0
32, de40000, de70000, 40000, 0
33, de80000, dea0000, 40000, 1
34, dec0000, ded0000, 40000, 0
35, df00000, df30000, 40000, 0
36, df40000, df60000, 40000, 0
37, df80000, df90000, 40000, 0
38, dfc0000, dff0000, 40000, 1
39, e000000, e020000, 40000, 1
40, e040000, e050000, 40000, 0
41, e080000, e0b0000, 40000, 0
42, e0c0000, e0e0000, 40000, 0
43, e100000, e110000, 40000, 0
44, e140000, e170000, 40000, 1
45, e180000, e1a0000, 40000, 0
46, e1c0000, e1d0000, 40000, 1
47, e200000, e230000, 40000, 1
48, e240000, e260000, 40000, 0
49, e280000, e290000, 40000, 1
50, e2c0000, e2f0000, 40000, 1
51, e300000, e320000, 40000, 1
52, e340000, e350000, 40000, 0
53, e380000, e3b0000, 40000, 0
54, e3c0000, e3e0000, 40000, 1
55, e400000, e410000, 40000, 1
56, e440000, e470000, 40000, 1
57, e480000, e4a0000, 40000, 0
58, e4c0000, e4d0000, 40000, 0
59, e500000, e530000, 40000, 1
60, e540000, e560000, 40000, 1
61, e580000, e590000, 40000, 0
62, e5c0000, e5f0000, 40000, 0
63, e600000, e620000, 40000, 0
64, e640000, e650000, 40000, 0
65, e680000, e6b0000, 40000, 0
66, e6c0000, e6e0000, 40000, 0
67, e700000, e710000, 40000, 0
68, e740000, e770000, 40000, 0
69, e780000, e7a0000, 40000, 0
70, e7c0000, e7d0000, 40000, 0
71, e800000, e830000, 40000, 0
72, e840000, e860000, 40000, 0
