SENDER done. index, start_t, end_t, start_t delta from rev, value
0, cf80000, cfa0000, 40000, 0
1, cfc0000, cfd0000, 40000, 1
2, d000000, d030000, 40000, 0
3, d040000, d060000, 40000, 0
4, d080000, d090000, 40000, 0
5, d0c0000, d0f0000, 40000, 0
6, d100000, d120000, 40000, 1
7, d140000, d150000, 40000, 1
8, d180000, d1b0000, 40000, 0
9, d1c0000, d1e0000, 40000, 1
10, d200000, d210000, 40000, 1
11, d240000, d270000, 40000, 0
12, d280000, d2a0000, 40000, 1
13, d2c0000, d2d0000, 40000, 1
14, d300000, d330000, 40000, 0
15, d340000, d360000, 40000, 0
16, d380000, d390000, 40000, 0
17, d3c0000, d3f0000, 40000, 1
18, d400000, d420000, 40000, 1
19, d440000, d450000, 40000, 0
20, d480000, d4b0000, 40000, 0
21, d4c0000, d4e0000, 40000, 1
22, d500000, d510000, 40000, 0
23, d540000, d570000, 40000, 1
24, d580000, d5a0000, 40000, 0
25, d5c0000, d5d0000, 40000, 1
26, d600000, d630000, 40000, 1
27, d640000, d660000, 40000, 1
28, d680000, d690000, 40000, 0
29, d6c0000, d6f0000, 40000, 1
30, d700000, d720000, 40000, 1
31, d740000, d750000, 40000, 0
32, d780000, d7b0000, 40000, 0
33, d7c0000, d7e0000, 40000, 1
34, d800000, d810000, 40000, 1
35, d840000, d870000, 40000, 0
36, d880000, d8a0000, 40000, 0
37, d8c0000, d8d0000, 40000, 1
38, d900000, d930000, 40000, 0
39, d940000, d960000, 40000, 1
40, d980000, d990000, 40000, 0
41, d9c0000, d9f0000, 40000, 1
42, da00000, da20000, 40000, 1
43, da40000, da50000, 40000, 1
44, da80000, dab0000, 40000, 0
45, dac0000, dae0000, 40000, 0
46, db00000, db10000, 40000, 1
47, db40000, db70000, 40000, 0
48, db80000, dba0000, 40000, 0
49, dbc0000, dbd0000, 40000, 0
50, dc00000, dc30000, 40000, 1
51, dc40000, dc60000, 40000, 0
52, dc80000, dc90000, 40000, 0
53, dcc0000, dcf0000, 40000, 0
54, dd00000, dd20000, 40000, 0
55, dd40000, dd50000, 40000, 0
56, dd80000, ddb0000, 40000, 0
57, ddc0000, dde0000, 40000, 1
58, de00000, de10000, 40000, 0
59, de40000, de70000, 40000, 0
60, de80000, dea0000, 40000, 1
61, dec0000, ded0000, 40000, 0
62, df00000, df30000, 40000, 0
63, df40000, df60000, 40000, 0
64, df80000, df90000, 40000, 0
65, dfc0000, dff0000, 40000, 1
66, e000000, e020000, 40000, 1
67, e040000, e050000, 40000, 0
68, e080000, e0b0000, 40000, 0
69, e0c0000, e0e0000, 40000, 0
70, e100000, e110000, 40000, 0
71, e140000, e170000, 40000, 1
72, e180000, e1a0000, 40000, 0
73, e1c0000, e1d0000, 40000, 1
74, e200000, e230000, 40000, 1
75, e240000, e260000, 40000, 0
76, e280000, e290000, 40000, 1
77, e2c0000, e2f0000, 40000, 1
78, e300000, e320000, 40000, 1
79, e340000, e350000, 40000, 0
80, e380000, e3b0000, 40000, 0
81, e3c0000, e3e0000, 40000, 1
82, e400000, e410000, 40000, 1
83, e440000, e470000, 40000, 1
84, e480000, e4a0000, 40000, 0
85, e4c0000, e4d0000, 40000, 0
86, e500000, e530000, 40000, 1
87, e540000, e560000, 40000, 1
